Label,P5:wikibase-item,P50:string,P51:string,P52:string,Label_eng,P54:string,Label_zh,P56:string,Description,P57:string,P58:string
법정동,Q992,184,ㅂ,행안부주소용어목록,Statutory Neighborhood,Beopjeong-dong,法定洞,,"법으로 지정된 동이란 뜻으로, 정부의 토지 구획, 지적도, 재산권 행사와 같은 법률 행위시 일반적으로 주소로 사용되는 동 명칭이다. 도로명주소에서 괄호 안에 병기하는 동의 명칭이나 부동산 등기 등 부동산 관련 토지표기에 쓰이며, 변동이 제한적으로 이루어진다.",TTA 정보통신용어사전
보행자길,Q992,191,ㅂ,행안부주소용어목록,Pedestrian exclusive use road,bohaengjagil,步行者專用道路,보행자전용도로,"보행자만 다닐 수 있도록 안전표지나 그와 비슷한 인공구조물로 표시한 도로를 말한다",법령용어사전
